"Home.Team.Name","Result","Away.Team.Name","Match.Date","Halftime.Score","Attendance","Seven.m.goals","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Phase"
"Jicín","27 : 26","Frýdek-Místek","14.5.2011","13 : 13","452","0 : 2","Radoslav Kavulic, Libor Skružný","Aleš Babák","Vladimír Bohácek","Jirí Kekrt","Petr Mazur","7till12placeMatch"
"Prerov","37 : 23","Brno","15.5.2011","20 : 13","297","7 : 2","Adam Kondelka, David Kondelka","Alois Jurík","Michal Kavka","Zdenek Missbach","Josef Cikán","7till12placeMatch"
"Brno","32 : 35","Jicín","7.5.2011","14 : 13","181","2 : 0","Bedrich Frieser, Lukáš Frieser","Zdenek Missbach","Zdenek Zima","Aleš Babák","Vladimír Bohácek","7till12placeMatch"
"Prerov","27 : 23","Trebon","8.5.2011","15 : 12","177","1 : 3","Václav Kohout, Petr Novák","Alois Jurík","Michal Kavka","Jan Pavlovský","Zdenek Kubík","7till12placeMatch"
"Frýdek-Místek","25 : 19","Koprivnice","8.5.2011","11 : 9","293","3 : 2","Pavel Novotný, Jirí Vetrovský","Jirí Kekrt","Petr Mazur","Miroslav Barton","Ivo Vávra","7till12placeMatch"
"Koprivnice","35 : 24","Jicín","29.4.2011","13 : 14","150","2 : 3","Adam Kondelka, David Kondelka","Miroslav Barton","Ivo Vávra","Aleš Babák","Vladimír Bohácek","7till12placeMatch"
"Prerov","22 : 35","Frýdek-Místek","30.4.2011","11 : 15","231","5 : 3","Milan Hájek, Karel Macho","Alois Jurík","Michal Kavka","Jirí Kekrt","Petr Mazur","7till12placeMatch"
"Trebon","27 : 20","Brno","30.4.2011","11 : 7","220","2 : 3","Marek Becicka, Jirí Horák","Jan Pavlovský","Zdenek Kubík","Zdenek Missbach","Tomáš Petr","7till12placeMatch"
"Jicín","28 : 15","Prerov","13.4.2011","13 : 9","200","1 : 2","Petr Halada, Martin Zych","Aleš Babák","Vladimír Bohácek","Alois Jurík","Michal Kavka","7till12placeMatch"
"Brno","40 : 31","Koprivnice","23.4.2011","18 : 10","148","2 : 3","Dalibor Pavlát, Petr Pešek","Zdenek Missbach","Zdenek Zima","Miroslav Barton","Zdenek Kovalák","7till12placeMatch"
"Frýdek-Místek","26 : 24","Trebon","24.4.2011","15 : 12","312","3 : 3","Michal Hanák, Jan Kosmák","Jirí Kekrt","Petr Mazur","Jan Pavlovský","Vladislav Jordák","7till12placeMatch"
"Trebon","26 : 27","Jicín","16.4.2011","12 : 16","0","5 : 4","Pavel Novotný, Jirí Vetrovský","Jan Pavlovský","Zdenek Kubík","Aleš Babák","Vladimír Bohácek","7till12placeMatch"
"Prerov","34 : 27","Koprivnice","17.4.2011","18 : 13","297","0 : 3","Václav Horácek, Jirí Novotný","Alois Jurík","Michal Kavka","Miroslav Barton","Ivo Vávra","7till12placeMatch"
"Frýdek-Místek","38 : 30","Brno","17.4.2011","17 : 11","365","5 : 3","Marek Becicka, Jirí Horák","Jirí Kekrt","Petr Mazur","Zdenek Missbach","Tomáš Petr","7till12placeMatch"
"Brno","32 : 31","Prerov","9.4.2011","16 : 16","100","4 : 5","Milan Hájek, Karel Macho","Zdenek Missbach","Zdenek Zima","Alois Jurík","Michal Kavka","7till12placeMatch"
"Koprivnice","28 : 22","Trebon","9.4.2011","13 : 11","400","3 : 5","Radoslav Kavulic, Libor Skružný","Miroslav Barton","Ivo Vávra","Jan Pavlovský","Zdenek Kubík","7till12placeMatch"
"Frýdek-Místek","32 : 23","Jicín","10.4.2011","16 : 13","426","4 : 1","Adam Kondelka, David Kondelka","Jirí Kekrt","Petr Mazur","Aleš Babák","Vladimír Bohácek","7till12placeMatch"
"Trebon","25 : 22","Prerov","2.4.2011","11 : 9","200","3 : 1","Václav Kohout, Petr Novák","Jan Pavlovský","Zdenek Kubík","Alois Jurík","Michal Kavka","7till12placeMatch"
"Koprivnice","27 : 24","Frýdek-Místek","2.4.2011","16 : 10","500","2 : 1","Petr Halada, Martin Zych","Miroslav Barton","Ivo Vávra","Jirí Kekrt","Petr Mazur","7till12placeMatch"
"Jicín","34 : 24","Brno","3.4.2011","15 : 6","250","5 : 2","Bedrich Frieser, Lukáš Frieser","Aleš Babák","Vladimír Bohácek","Zdenek Missbach","Zdenek Zima","7till12placeMatch"
"Prerov","28 : 41","Dukla","25.3.2011","16 : 19","291","3 : 3","Pavel Novotný, Jirí Vetrovský","Alois Jurík","Michal Kavka","Pavel Pauza","Milan Kotrc","RegularPhaseMatch"
"Trebon","23 : 27","Lovosice","25.3.2011","8 : 11","200","2 : 2","Milan Hájek, Karel Macho","Jan Pavlovský","Zdenek Kubík","Vojtech Srba","Pavel Haken","RegularPhaseMatch"
"Brno","27 : 37","Zubrí","26.3.2011","13 : 22","250","6 : 2","Jirí Opava, Pavel Válek","Zdenek Missbach","Tomáš Petr","Jirí Mika","Michal Balhárek","RegularPhaseMatch"
"Hranice","31 : 28","Koprivnice","27.3.2011","18 : 12","200","3 : 3","Michal Hanák, Jan Kosmák","Jan Hegar","Bretislav Žoch","Miroslav Barton","Ivo Vávra","RegularPhaseMatch"
"Plzen","28 : 18","Karviná","27.3.2011","13 : 11","750","2 : 5","Bedrich Frieser, Lukáš Frieser","Vladimír Haber","Stanislav Raizl","Jozef Hanták","Zdenek Mrózek","RegularPhaseMatch"
"Frýdek-Místek","34 : 29","Jicín","27.3.2011","17 : 14","320","2 : 4","Pavel Nesvadba, Vangelis Simu","Jirí Kekrt","Petr Mazur","Aleš Babák","Vladimír Bohácek","RegularPhaseMatch"
"Jicín","37 : 24","Prerov","18.3.2011","19 : 13","615","0 : 3","Dalibor Pavlát, Petr Pešek","Aleš Babák","Vladimír Bohácek","Alois Jurík","Michal Kavka","RegularPhaseMatch"
"Lovosice","27 : 25","Hranice","19.3.2011","13 : 13","800","2 : 0","Václav Kohout, Petr Novák","Vojtech Srba","Pavel Haken","Jan Hegar","Bretislav Žoch","RegularPhaseMatch"
"Dukla","37 : 24","Brno","19.3.2011","18 : 13","130","4 : 2","Lubomír Kohout, Vladimír Vaník","Pavel Pauza","Milan Kotrc","Zdenek Missbach","Tomáš Petr","RegularPhaseMatch"
"Koprivnice","30 : 28","Frýdek-Místek","19.3.2011","13 : 12","700","1 : 2","Marek Becicka, Jirí Horák","Miroslav Barton","Ivo Vávra","Jirí Kekrt","Petr Mazur","RegularPhaseMatch"
"Zubrí","24 : 21","Plzen","20.3.2011","13 : 9","720","3 : 2","Václav Horácek, Jirí Novotný","Jirí Mika","Michal Balhárek","Vladimír Haber","Stanislav Raizl","RegularPhaseMatch"
"Karviná","28 : 29","Trebon","20.3.2011","13 : 12","729","5 : 4","Adam Kondelka, David Kondelka","Jozef Hanták","Martin Kostelník","Jan Pavlovský","Vladislav Jordák","RegularPhaseMatch"
"Trebon","24 : 31","Zubrí","3.3.2011","8 : 14","200","0 : 3","Lubomír Kohout, Vladimír Vaník","Jan Pavlovský","Zdenek Kubík","Jirí Mika","Michal Balhárek","RegularPhaseMatch"
"Plzen","28 : 18","Dukla","4.3.2011","15 : 10","930","1 : 2","Václav Kohout, Petr Novák","Vladimír Haber","Stanislav Raizl","Pavel Pauza","Milan Kotrc","RegularPhaseMatch"
"Hranice","23 : 27","Karviná","5.3.2011","10 : 13","450","2 : 1","Radoslav Kavulic, Libor Skružný","Jan Hegar","Bretislav Žoch","Jozef Hanták","Zdenek Mrózek","RegularPhaseMatch"
"Jicín","33 : 26","Koprivnice","5.3.2011","14 : 10","650","3 : 2","Milan Hájek, Karel Macho","Aleš Babák","Vladimír Bohácek","Libor Hrabal","Ivo Vávra","RegularPhaseMatch"
"Prerov","32 : 28","Brno","6.3.2011","16 : 15","362","0 : 5","Radoslav Kavulic, Libor Skružný","Alois Jurík","Michal Kavka","Zdenek Missbach","Zdenek Zima","RegularPhaseMatch"
"Frýdek-Místek","35 : 31","Lovosice","6.3.2011","18 : 16","315","1 : 5","Václav Horácek, Jirí Novotný","Jirí Kekrt","Petr Mazur","Vojtech Srba","Pavel Haken","RegularPhaseMatch"
"Dukla","24 : 17","Trebon","26.2.2011","14 : 9","125","1 : 1","Pavel Novotný, Jirí Vetrovský","Pavel Pauza","Jan Krouský","Jan Pavlovský","Zdenek Kubík","RegularPhaseMatch"
"Plzen","34 : 19","Brno","26.2.2011","20 : 6","350","1 : 2","Jirí Opava, Pavel Válek","Vladimír Haber","Stanislav Raizl","Zdenek Missbach","","RegularPhaseMatch"
"Koprivnice","30 : 35","Prerov","26.2.2011","11 : 16","300","5 : 2","Adam Kondelka, David Kondelka","Libor Hrabal","Ivo Vávra","Alois Jurík","Michal Kavka","RegularPhaseMatch"
"Lovosice","32 : 25","Jicín","27.2.2011","16 : 13","824","3 : 1","Václav Kohout, Petr Novák","Vojtech Srba","Pavel Haken","Aleš Babák","Vladimír Bohácek","RegularPhaseMatch"
"Karviná","33 : 30","Frýdek-Místek","27.2.2011","15 : 16","637","1 : 2","Marek Becicka, Jirí Horák","Jozef Hanták","Martin Kostelník","Jirí Kekrt","Lubomír Kavka","RegularPhaseMatch"
"Hranice","22 : 26","Zubrí","27.2.2011","8 : 11","650","3 : 2","Václav Horácek, Jirí Novotný","Jan Hegar","Bretislav Žoch","Jirí Mika","Michal Balhárek","RegularPhaseMatch"
"Koprivnice","31 : 31","Lovosice","19.2.2011","12 : 17","200","5 : 3","Michal Hanák, Jan Kosmák","Libor Hrabal","Ivo Vávra","Vojtech Srba","Pavel Haken","RegularPhaseMatch"
"Trebon","32 : 21","Brno","19.2.2011","19 : 8","430","2 : 1","Petr Halada, Martin Zych","Jan Pavlovský","Zdenek Kubík","Zdenek Missbach","Zdenek Zima","RegularPhaseMatch"
"Jicín","28 : 28","Karviná","19.2.2011","15 : 13","700","6 : 4","Dalibor Pavlát, Petr Pešek","Aleš Babák","Vladimír Bohácek","Jozef Hanták","Zdenek Mrózek","RegularPhaseMatch"
