"Global.Match.ID","Local.Match.ID","Home.Team.Init","Away.Team.Init","Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Date","Season","Season.Phase","Attendance","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Home.Team.Halftime.Goals","Away.Team.Halftime.Goals","Home.Team.7m.Goals","Away.Team.7m.Goals","HT.Break.Goals","HT.Goalkeepers.Perc","HT.Goalkeepers.Saves","HT.Shots.Acc.Perc","HT.7m.Shots.Acc","AT.Break.Goals","AT.Goalkeepers.Perc","AT.Goalkeepers.Saves","AT.Shots.Acc.Perc","AT.7m.Shots.Acc","Day.Name","Day.Status","Public.Holiday","CT.Broadcast"
29,29,"ZUB","BRN","HC ROBE Zubrí","SKKP Handball Brno",21,20,2018-10-31,"2018/2019","RegularPhaseMatch",853,"Adam Baader, Jirí Novotný","Dušan Poloz","Zbynek Mizera","Andrej Titkov","Vít Kucera",11,9,4,3,,,,,,,,,,,"Wed","WorkingDay",0,0
30,30,"LIT","DUK","TJ Tatran Litovel","HC Dukla Praha",19,38,2018-10-31,"2018/2019","RegularPhaseMatch",200,"Petr Kichner, Michal Vacula","Ivo Vávra","Jirí Macek","Daniel Curda","Jirí Kotrc",7,14,1,1,,,,,,,,,,,"Wed","WorkingDay",0,0
31,31,"HRA","LIT","TJ Cement Hranice","TJ Tatran Litovel",30,24,2018-10-10,"2018/2019","RegularPhaseMatch",170,"Milan Hájek, Karel Macho","Libor Hrabal","Martin Potiška","Ivo Vávra","Jirí Macek",16,12,8,2,,,,,,,,,,,"Wed","WorkingDay",0,1
32,32,"LOV","KOP","HK FCC Mesto Lovosice","KH Koprivnice",31,29,2018-10-13,"2018/2019","RegularPhaseMatch",421,"Michael Haramul, Michal Nezbeda","Roman Jelínek","Pavel Haken","Lubomír Vermirovský","Igor Fulnek",13,13,1,2,,,,,,,,,,,"Sat","Weekend",0,0
33,33,"BRN","FRM","SKKP Handball Brno","Pepino SKP Frýdek-Místek",28,28,2018-10-13,"2018/2019","RegularPhaseMatch",380,"Mojmír Valášek, Jaroslav Vychodil","Andrej Titkov","Vít Kucera","Lubomír Kavka","Petr Mazur",14,18,2,1,,,,,,,,,,,"Sat","Weekend",0,0
34,34,"JIC","NOV","HBC Ronal Jicín","TJ Sokol Nové Veselí",23,23,2018-10-13,"2018/2019","RegularPhaseMatch",640,"Jirí Opava, Pavel Válek","Aleš Babák","Petr Kyncl","Pavel Hladík","Stanislav Krcál",17,10,3,2,,,,,,,,,,,"Sat","Weekend",0,0
35,35,"DUK","ZUB","HC Dukla Praha","HC ROBE Zubrí",20,22,2018-10-14,"2018/2019","RegularPhaseMatch",200,"Dalibor Pavlát, Ludek Tocík","Daniel Curda","Jirí Kotrc","Dušan Poloz","Zbynek Mizera",11,6,3,1,,,,,,,,,,,"Sun","Weekend",0,0
36,36,"KAR","PLZ","HCB Karviná","Talent ROBSTAV-M.A.T.Plzen",24,22,2018-10-17,"2018/2019","RegularPhaseMatch",896,"Václav Horácek, Jirí Novotný","Marek Michalisko","Jirí Tabara","Michal Tonar","Jan Štochl",11,11,3,3,,,,,,,,,,,"Wed","WorkingDay",0,1
37,37,"PLZ","BRN","Talent ROBSTAV-M.A.T.Plzen","SKKP Handball Brno",28,22,2018-10-03,"2018/2019","RegularPhaseMatch",360,"Tomáš Deml, Michal Dvorácek","Michal Tonar","Stanislav Raizl","Andrej Titkov","Vít Kucera",14,7,2,0,,,,,,,,,,,"Wed","WorkingDay",0,0
38,38,"HRA","DUK","TJ Cement Hranice","HC Dukla Praha",28,27,2018-10-06,"2018/2019","RegularPhaseMatch",220,"Marek Becicka, Jirí Horák","Libor Hrabal","Martin Potiška","Daniel Curda","Jirí Kotrc",13,12,6,5,,,,,,,,,,,"Sat","Weekend",0,0
39,39,"LIT","JIC","TJ Tatran Litovel","HBC Ronal Jicín",21,27,2018-10-06,"2018/2019","RegularPhaseMatch",261,"Jirí Králícek, Milan Letev","Ivo Vávra","Jirí Macek","Aleš Babák","Petr Kyncl",9,17,1,5,,,,,,,,,,,"Sat","Weekend",0,0
40,40,"KOP","KAR","KH Koprivnice","HCB Karviná",32,32,2018-10-06,"2018/2019","RegularPhaseMatch",560,"Premysl Fukala, Radek Mohyla","Lubomír Vermirovský","Igor Fulnek","Marek Michalisko","Jirí Tabara",16,16,4,5,,,,,,,,,,,"Sat","Weekend",0,0
41,41,"FRM","ZUB","Pepino SKP Frýdek-Místek","HC ROBE Zubrí",28,23,2018-10-07,"2018/2019","RegularPhaseMatch",334,"Michal Hanák, Luboš Pavlícek","Lubomír Kavka","Petr Mazur","Dušan Poloz","Zbynek Mizera",16,11,2,2,,,,,,,,,,,"Sun","Weekend",0,0
42,42,"NOV","LOV","TJ Sokol Nové Veselí","HK FCC Mesto Lovosice",29,28,2018-10-07,"2018/2019","RegularPhaseMatch",300,"Tomáš Kozler, Martin Zych","Pavel Hladík","Stanislav Krcál","Roman Jelínek","Pavel Haken",13,15,5,0,,,,,,,,,,,"Sun","Weekend",0,0
43,43,"JIC","HRA","HBC Ronal Jicín","TJ Cement Hranice",24,23,2018-09-28,"2018/2019","RegularPhaseMatch",570,"Jirí Opava, Pavel Válek","Aleš Babák","Petr Kyncl","Libor Hrabal","Tomáš Pernicka",15,8,4,1,,,,,,,,,,,"Fri","WorkingDay",1,0
44,44,"ZUB","PLZ","HC ROBE Zubrí","Talent ROBSTAV-M.A.T.Plzen",26,26,2018-09-28,"2018/2019","RegularPhaseMatch",946,"Václav Horácek, Jirí Novotný","Dušan Poloz","Zbynek Mizera","Michal Tonar","Stanislav Raizl",10,14,5,1,,,,,,,,,,,"Fri","WorkingDay",1,0
45,45,"LOV","LIT","HK FCC Mesto Lovosice","TJ Tatran Litovel",36,28,2018-09-29,"2018/2019","RegularPhaseMatch",428,"Michal Hanák, Luboš Pavlícek","Roman Jelínek","Pavel Haken","Ivo Vávra","Jirí Macek",19,13,3,5,,,,,,,,,,,"Sat","Weekend",0,0
46,46,"BRN","KOP","SKKP Handball Brno","KH Koprivnice",26,33,2018-09-29,"2018/2019","RegularPhaseMatch",220,"Marek Becicka, Jirí Horák","Andrej Titkov","Vít Kucera","Lubomír Vermirovský","Igor Fulnek",8,15,4,5,,,,,,,,,,,"Sat","Weekend",0,0
